Name,City,State,"Coordi,ats",Ratings
DibruSaikhowaNationalPark,LaikaGaon,Assam,"27.6690,95.3626",4.3
PadumPukhuri,Tezpur,Assam,"26.6224,92.7918",4.3
HaflongLake,Haflong,Assam,"25.1656,93.0162",4.1
TocklaiTeaResearchInstitute,Jorhat,Assam,"26.7289,94.2281",4.3
DiporBil,Kamrup,Assam,"26.1177,91.6494",4.5
ChandubiLake,Kamrup,Assam,"25.8828,91.4257",4.4
BogibeelBridge,Dhemaji,Assam,"27.4099,94.7587",4.5
Agnigarh,Tezpur,Assam,"26.6177,92.8018",4.3
MahabhairabTemple,Tezpur,Assam,"26.6342,92.7963",4.7
PurvaTirupatiSriBalajiTemple,Betkuchi,Assam,"26.1164,91.7250",4.7
SivaDol,Sivasagar,Assam,"26.9889,94.6331",4.7
RumtekDharmaChakraCentre,Gangtok,Sikkim,"27.2887,88.5615",4.6
KhangchendzongaNationalPark,Sakkyong,Sikkim,"27.6672,88.3246",4.6
GurudongmarLake,Mangan,Sikkim,"28.0258,88.7097",4.9
Nathula,DongkyaRange,Sikkim,"27.3866,88.8309",4.7
TsomgoChho,EastSikkim,Sikkim,"27.3742,88.7619",4.8
BabaHarbhajanSinghTemple,EastSikkim,Sikkim,"27.3659,88.8379",4.7
PemayangtseMonastery,Pelling,Sikkim,"27.3052,88.2515",4.6
BanJhakriFallsPark,Gangtok,Sikkim,"2721′3″,8836′13″",4.4
DoDrulChorten,Tadong,Sikkim,"27.3128,88.6048",4.4
KhecheopalriLake,Khecheopalri,Sikkim,"27.3492,88.1883",4.5
HanumanTemple,Gangtok,Sikkim,"2720′52″,8837′43″",4.7
Kangchenjunga,Taplejung,Sikkim,"27.7025,88.1475",4.7
BuddhaPark,Ravangla,Sikkim,"27.3144,88.3633",4.8
BakthangWaterfall,Gangtok,Sikkim,"27.3578,88.6235",4.3
M.GMARKET,Arithang,Sikkim,"27.3283,88.6124",4.5
ZeroPoint,Katao,Sikkim,"27.9305,88.7346",4.7
GaneshTok,Sungava,Sikkim,"27.3415,88.6213",4.5
CharDhamTemple,Namchi,Sikkim,,4.7
NagaFalls,Naga-Namgor,Sikkim,"27.5427,88.6297",4.5
SikkimHimalayanZoologicalPark,Sungava,Sikkim,"27.3567,88.6300",4.3
SingshoreSuspensionBridge,Pelling,Sikkim,"27.2604,88.1130",4.6
TajMahal,Agra,UttarPradesh,"27.1751,78.0421",4.6
ShriKashiVishwanathTemple,Varanasi,UttarPradesh,"25.3109,83.0107",4.7
BaraImambara,Lucknow,UttarPradesh,"26.8693,80.9126",4.4
AgraFort,Agra,UttarPradesh,"27.1795,78.0211",4.5
AkbarFort,Prayagraj,UttarPradesh,"25.4295,81.8768",4.3
PremMandirVrindavan,Vrindavan,UttarPradesh,"27.5718,77.6719",4.8
ShriKrishnaJanmasthan,Mathura,UttarPradesh,"27.504748,77.669754",4.7
ChotaImambara,Husainabad,UttarPradesh,"26.8743,80.9047",4.5
KhusroBagh,Prayagraj,UttarPradesh,"25.4423,81.8210",4.2
RumiDarwaza,Lucknow,UttarPradesh,"26.8712,80.9121",4.6
AllahabadMuseum,Prayagraj,UttarPradesh,"25.4573,81.8484",4.3
JhansiFort,JhokanBagh,UttarPradesh,"25.4576,78.5765",4.4
ShriHanumanGarhiMandir,Ayodhya,UttarPradesh,"26.7953,82.2016",4.7
SankatmochanTemple,Varanasi,UttarPradesh,"25.2828,83.0001",4.7
NawabWajidAliShahZoologicalGarden,Lucknow,UttarPradesh,"26.8454,80.9517",4.3
AnandBhawanMuseum,Prayagraj,UttarPradesh,"25.459376,81.8599815",4.2
AmbedkarMemorialPark,GomtiNagar,UttarPradesh,"26.8462,80.9785",4.3
KanpurZoologicalPark,Kanpur,UttarPradesh,"26.5029,80.3031",4.2
ShriMankameshwarMandir,Agra,UttarPradesh,"27.1837,78.0175",4.7
ChunarFort,Mirzapur,UttarPradesh,"257′31.97″,8252′28.29″",4.1
RanthamboreNationalPark,SawaiMadhopur,Rajasthan,"26.0173,76.5026",4.5
HawaMahal,Jaipur,Rajasthan,"26.9239,75.8267",4.4
ChittorgarhFort,Chittorgarh,Rajasthan,"24.8879,74.6451",4.6
CityPalace,Jaipur,Rajasthan,"26.9258,75.8237",4.4
AmberPalace,Amer,Rajasthan,"26.9855,75.8513",4.6
LakePichola,Udaipur,Rajasthan,"24.5720,73.6790",4.6
MehrangarhMuseumTrust,Jodhpur,Rajasthan,"26.2997,73.0194",4.6
JagdishTemple,Udaipur,Rajasthan,"24.5797,73.6836",4.7
BagoreKiHaveli,Pichola,Rajasthan,"24.5800,73.6822",4.5
ShriEklingJiTemple,Udaipur,Rajasthan,"23.7848,73.5215",4
JantarMantar,Jaipur,Rajasthan,"26.9248,75.8246",4.5
JaisalmerFort,Jaisalmer,Rajasthan,"26.9125,70.9126",4.4
RanakpurJainTemple,Sadri,Rajasthan,"25.1157,73.4729",4.7
Jagmandir,Pichola,Rajasthan,"24.5676,73.6778",4.4
MaharanaPratapMuseum,Haldighati,Rajasthan,"24.8844,73.6912",4.5
FatehSagarLake,Udaipur,Rajasthan,"24.6014,73.6742",4.7
ShreeKarniMatajiTemple,Deshnoke,Rajasthan,"27.7909,73.3408",4.7
NakkiLake,MountAbu,Rajasthan,"24.5945,72.7062",4.5
DilwaraTemples,MountAbu,Rajasthan,"24.6094,72.7230",4.6
RanakpurJainTemple,Sadri,Rajasthan,"25.1157,73.4729",4.7
KingdomofDreams,Gurgaon,Haryana,"28.4679,77.0689",4.4
BrahmaSarovar,Thanesar,Haryana,"29.9614,76.8286",4.7
SultanpurNationalPark,Sultanpur,Haryana,"28.4613,76.8904",4.1
YadavindraGardens,Pinjore,Haryana,"30.7941,76.9147",4.3
BhishmaKund,Kurukshetra,Haryana,"29.9386,76.8126",4.4
Manesar,Gurgaon,Haryana,"28.3515,76.9428",3.7
Morni,Panchkula,Haryana,"30.6873,77.0877",3.9
ShirdiSaiBabaTemple,Faridabad,Haryana,"28.4152,77.3166",4.8
KabuliBaghMasjid,Panipat,Haryana,"2923′45″,7659′21″",4
DamdamaLake,Gurugram,Haryana,"28.3040,77.1282",3.5
SukhnaLake,Chandigarh,Haryana,"30.7421,76.8188",4.6
TheGoldenTemple,Amritsar,Punjab,"31.6200,74.8765",4.9
JallianwalaBagh,Amritsar,Punjab,"31.6206,74.8801",4.6
MahendraChaudharyZoologicalPark,Zirakpur,Punjab,"30.6036,76.7928",4.3
PartitionMuseum,Amritsar,Punjab,"31.6257,74.8790",4.6
DeviTalabMandir,Jalandhar,Punjab,"31.3435,75.5828",4.7
Virasat-e-Khalsa,Chandigarh,Punjab,"3113′55″,7630′09″",4.7
QilaMubarak,Bathinda,Punjab,"30.2081,74.9364",4.6
FatehBurj,SASNagar,Punjab,"30.70314,76.66792",4.5
NehruRoseGarden,Ludhiana,Punjab,"30.9082,75.8251",4.4
Wagah,HardoRattan,Punjab,"31.6048,74.5741",4.6
AkalTakht,Gurudwara,Punjab,"31.6206,74.8754",4.8
GulmargGondola,Gulmarg,JammuandKashmir,"34.0456,74.3844",4.4
Khilanmarg,Gulmarg,JammuandKashmir,"34.0476,74.3854",4.6
GulmargBackcountry,Gulmarg,JammuandKashmir,"34.0473,74.3819",4.5
Kashmirgulmarg,Gulmarg,JammuandKashmir,"34.0484,74.3805",4.6
ButaPathri,Gulmarg,JammuandKashmir,"34.0610,74.3790",4.8
VaishnoDevi,Katra,JammuandKashmir,"33.0308,74.9490",4.6
Amarnath,Anantnag,JammuandKashmir,"34.2157,75.5041",4.5
Yusmarg,Yousmarg,JammuandKashmir,"33.8316,74.6644",4.4
KishtwarNationalpark,ForestBlock,JammuandKashmir,"33.6187,75.9933",4.2
DachigamNationalPark,Dachigam,JammuandKashmir,"34.1372,75.0377",4.4
PangongTso,Leh,Ladakh,"33.7595,78.6674",4.8
NubraValley,Leh,Ladakh,"34.6863,77.5673",4.4
ThikseyMonastery,Thiksey,Ladakh,"34.0568,77.6670",4.7
KhardungLa,Leh,Ladakh,"34.2787,77.6047",4.8
DiskitGompa,Diskit,Ladakh,"3432′28″,7733′37″",4.7
ShalimarBaghMughalGarden,Srinagar,JammuandKashmir,"34.1485,74.8696",4.4
DalLake,Srinagar,JammuandKashmir,"34.1106,74.8683",4.7
BetaabValley,Fraslana,JammuandKashmir,"34.0541,75.3639",4.6
WularLake,Bandipora,JammuandKashmir,"34.3696,74.5580",4.4
ShantiStupa,Leh,Ladakh,"34.1736,77.5750",4.7
LehPalace,Leh,Ladakh,"34.1660,77.5866",4.3
HemisNationalPark,Karakoram-WestTibetanPlateau,Ladakh,"33.7187,77.3882",4.4
GurudwaraPatharSahib,Phey,Ladakh,"34.1920,77.3756",4.8
TheLamayuruMonastery,Lamayuru,Ladakh,"34.2830,76.7742",4.6
