Name,City,State,"Coordi,ats",Ratings
ISKCONtempleBangalore,Bengaluru,Karnataka,"13.0098,77.5511",4.6
SykesPoint,Dandeli,Karnataka,"155'0"",7438'55""",4.7
CubbonPark,Bengaluru,Karnataka,"12.9779,77.5952",4.4
Charminar,Hyderabad,Telangana,"17.3616,78.4747",4.5
GolcondaFort,Hyderabad,Telangana,"17.3833,78.4011",4.4
BirlaMandir,Hyderabad,Telangana,"17.4062,78.4691",4.7
SalarJungMuseum,Hyderabad,Telangana,"17.3716,78.4802",4.4
ThousandPillarTemple,Warangal,Telangana,"1800′13.4″,7934′29.1″",4.5
RamappaTemple,Mulugu,Telangana,"18.2593,79.9433",4.7
StatueOfEquality,Muchintal,Telangana,"17.1860,78.3332",4.6
RamojiFilmCity,Abdullahpurmet,Telangana,"17.2543,78.6808",4.4
SriLakshmiNarasimhaSwamyTemple,Yadagirigutta,Telangana,"17.5889,78.9443",4.5
Chowmahallapalace,Hyderabad,Telangana,"17.3578,78.4717",4.4
Kuntalawaterfalls,Adilabad,Telangana,"19.2847,78.5033",4.3
Indirapark,Hyderabad,Telangana,"17.4140,78.4840",4.2
warangalfort,Warangal,Telangana,"17.9561,79.6147",4.4
Medakfort,Medak,Telangana,"18.0435,78.2572",4.1
NagarjunaSagarDam,Nalgonda,Telangana,"16.5760,79.3124",4
TajFalaknumaPalace,Hyderabad,Telangana,"17.3315,78.4675",4.6
MallelaThirthamWaterfall,Nagarkurnool,Telangana,"1615′58″,7851′23″",4.4
Meccamasjid,Hyderabad,Telangana,"17.3604,78.4736",4.7
AnantagiriHills,Vikarabad,Telangana,"17.3120,77.8636",4.4
HussainSagar,Hyderabad,Telangana,"17.4239,78.4738",4.3
ChhatrapatiShivajiMaharajTerminus,Mumbai,Maharashtra,"18.9398,72.8354",4.5
AjantaCaves,Aurangabad,Maharashtra,"20.5519,75.7033",4.6
ElloraCaves,Ellora,Maharashtra,"20.0258,75.1780",4.6
Tadoba-AndhariNationalPark,Chandrapur,Maharashtra,"20.2484,79.3607",4.5
ShreeSiddhivinayakTemple,Prabhadevi,Maharashtra,"19.0168,72.8303",4.8
SanjayGandhiNationalPark,Mumbai,Maharashtra,"19.2288,72.9182",4.3
LohagadFort,Lonavala,Maharashtra,"18.7102,73.4759",4.3
ShaniwarWada,Pune,Maharashtra,"1831'9"",7351'19""",4.3
SinhagadFort,Pune,Maharashtra,"18.3663,73.7559",4.6
AgaKhanPalace,Pune,Maharashtra,"18.5525,73.9015",4.3
PawnaLake,Pune,Maharashtra,"18.6668,73.4858",4.5
KanheriCaves,Mumbai,Maharashtra,"19.2059,72.9069",4.5
KarlaCaves,Lonavala,Maharashtra,"18.7833,73.4704",4.4
SydneyPoint,Panchgani,Maharashtra,"17.9367,73.8058",4.4
GatewayOfIndiaMumbai,Mumbai,Maharashtra,"18.9220,72.8347",4.6
Tadoba-AndhariNationalPark,Chandrapur,Maharashtra,"20.2484,79.3607",4.5
Harishchandragad,Ahmednagar,Maharashtra,"19.3864,73.7781",4.7
ElphinstonePoint,Mahabaleshwar,Maharashtra,"17.9639,73.6277",4.5
AurangabadCaves,Aurangabad,Maharashtra,"19.9172,75.3119",4.4
KarnalaBirdSanctuary,Raigad,Maharashtra,"18.8910,73.1219",4.3
ChitrakoteWaterfalls,Bastar,Chhattisgarh,"19.2072,81.7001",4.6
IndravatiNationalPark,Bijapur,Chhattisgarh,"19.2059,81.0313",4.1
TirathgarhWaterfall,Tirathgar,Chhattisgarh,"18.9139,81.8651",4.6
MaikalHills,Kawardha,Chhattisgarh,"22.5000,81.5000",4.3
AmritdharaWaterfall,Bharatpur,Chhattisgarh,"2319'55,8219'14",4.4
MaaBamleshwariTemple,Dongargarh,Chhattisgarh,"2110′46″,8045′9″",4.6
BailadilaRange,Kirandul,Chhattisgarh,"18.7678,81.2299",4.3
MainGateTandulaDamBalod,Balod,Chhattisgarh,"20.7023,81.2224",4.3
KangerGhatiNationalPark,jagdalpur,Chhattisgarh,"18.7787,81.9971",4.2
TigerPoint,Narbadapur,Chhattisgarh,"22.8282,83.3633",4.2
MarineDrive(TelibandhaLake),Raipur,Chhattisgarh,"21.2378,81.6651",4.6
VivekanandaSarovar,Raipur,Chhattisgarh,"21.2325,81.6343",4.3
ChandiMataTemple,Surajpur,Chhattisgarh,"23.6005,83.0003",4.4
GangrelDam,Dhamtari,Chhattisgarh,"20.6167,81.5697",4
JaljaliMainpat,Kamleshwarpur,Chhattisgarh,"22.8211,83.2529",4.2
BhoramdeoTemple,Kawardha,Chhattisgarh,"22.1151,81.1482",4.4
KotumsarCave,Bastar,Chhattisgarh,"18052'09”,;81056'05”",4.4
AchanakmarWildlifeSanctuary,Mungeli,Chhattisgarh,"22.5052,81.7787",4.2
BarnawaparaWildlifeSanctuary,Nanwapara,Chhattisgarh,"21.4511,82.5186",4.4
MaitriBaghZoo,Bhilai,Chhattisgarh,"21.1688,81.3520",4
KanhaTigerReserve,Mandla,MadhyaPadesh,"22.3345,80.6115",4.5
GwaliorFort,Gwalior,MadhyaPadesh,"26.2313,78.1695",4.5
MahakaleshwarJyotirlinga,Ujjain,MadhyaPadesh,"23.1827,75.7682",4.8
ShriPanchPandavCaves,Pachmarhi,MadhyaPadesh,"22.4584,78.4323",4.2
SanchiStupa,Sanchi,MadhyaPadesh,"23.4794,77.7397",4.6
DhuandharWaterfall,Jabalpur,MadhyaPadesh,"23.1263,79.8075",4.4
Bhimbetkarockshelters,AmchhaKhurd,MadhyaPadesh,"22.9395,77.6124",4.5
Khajuraho,Chhatarpur,MadhyaPadesh,"24.8318,79.9199",4
Omkareshwar,Khandwa,MadhyaPadesh,"22.2481,76.1421",4.7
LalBaghPalace,Indore,MadhyaPadesh,"22.7001,75.8471",4.2
PatalpaniWaterFalls,Indore,MadhyaPadesh,"2230′16.09″,7547′57.98″",4.3
BalancingRock,Jabalpur,MadhyaPadesh,"23.1486,79.9047",4.3
BeeFalls,Pachmarhi,MadhyaPadesh,"22.4751,78.4073",4.6
ShriRamGhat,Ujjain,MadhyaPadesh,"23.1861,75.7640",4.5
TajUlMasajidBhopal,Bhopal,MadhyaPadesh,"23.262934,77.392802",4.6
RajwadaPalace,Indore,MadhyaPadesh,"22.7185,75.8547",4.4
UdaigiriCaves,Vidisha,MadhyaPadesh,"23.5363,77.7722",4.3
KonarkSunTemple,Puri,Odisha,"19.8876,86.0945",4.7
ShreeJagannathTemple,Puri,Odisha,"19.8049,85.8179",4.7
Lingarajtemple,Bhubaneswar,Odisha,"20.2383,85.8340",4.6
SimilipalNationalPark,Baripada,Odisha,"21.5931,86.2945",4.3
UdayagiriandKhandagiriCaves,Bhubaneswar,Odisha,"20.2625,85.7847",4.4
GoldenBeach,Puri,Odisha,"19.7947,85.8253",4.5
NandankananZoologicalPark,Bhubaneswar,Odisha,"20.3958,85.8260",4.4
MukteswaraTemple,Bhubaneswar,Odisha,"20.2427,85.8404",4.7
RajaraniTemple,Bhubaneswar,Odisha,"20.2435,85.8435",4.4
ParsurameswaraTemple,Bhubaneswar,Odisha,"20.2431,85.8391",4.6
GopalpurBeach,Gopalpur,Odisha,"19.2547,84.9059",4.5
BarabatiKatakaFort,Cuttack,Odisha,"2029′1.32″,8552′3.36″",4.5
ChausathiyoginiTemplehirapur,Hirapur,Odisha,"20.2250,85.8787",4.6
StateTribalMuseum,Bhubaneswar,Odisha,"20.2830,85.8068",4.6
CuttackChandiTemple,Cuttack,Odisha,"2028′38.08″,8551′45.23″",4.7
ChilikaLake,Ganjam,Odisha,"19.8450,85.4788",4.3
MahadevChandrashekharTemple,Patia,Odisha,"2040'54.4"",8545'47.1""",4.6
ChandakaForest,Cuttack,Odisha,"20.3488,85.6640",4.3
SwargadwarSeaBeach,Puri,Odisha,"19.7918,85.8158",4.5
KarlapatWildLifeSanctuary,Kalahandi,Odisha,"1940'19.8"",8302'10.1""",4.2
GirNationalPark,TalalaGir,Gujarat,"21.1243,70.8242",4.4
ShreeSomnathJyotirlingTemple,Veraval,Gujarat,"20.8880,70.4010",4.8
SabarmatiAshram,Ahmedabad,Gujarat,"23.0608,72.5809",4.6
StatueOfUnity,Kevadia,Gujarat,"21.8380,73.7191",4.6
RaniKiVav,Patan,Gujarat,"23.8589,72.1019",4.6
Champaner-PavagadhArchaeologicalPark,Panchmahal,Gujarat,"22.4846,73.5324",4.4
ShreeDwarkadhishTemple,Dwarka,Gujarat,"22.2376,68.9674",4.7
TheAdalajStepwell,Adalaj,Gujarat,"23.1667,72.5801",4.4
KankariaLake,Maninagar,Gujarat,"23.0063,72.6026",4.5
ModheraSunTemple,Mehsana,Gujarat,"23.5835,72.1330",4.6
DumasBeach,Surat,Gujarat,"21.0838,72.7093",4.2
SidiSaiyyedMosque,Ahmedabad,Gujarat,"1.3132,103.9126",4.6
ShriNageshvarJyotirling,Dwarka,Gujarat,"22.3360,69.0870",4.7
SabarmatiRiverfront,Ahmedabad,Gujarat,"23.0235,72.5766",4.6
JamiMasjid,Ahmedabad,Gujarat,"23.023822,72.587222",4.6
BAPSAkshardhamTemple,Gandhinagar,Gujarat,"2313′45″,7240′27″",4.6
PRAGMAHAL,Bhuj,Gujarat,"23.2546,69.6685",4.2
AainaMahalPalace,Bhuj,Gujarat,"23.25530,69.66877",4.2
MahatmaGandhiMuseum,Rajkot,Gujarat,"28.6383,77.2501",4.5
SakkarbaugZoologicalPark,Junagadh,Gujarat,"21.542,70.465",4.3
DalmaWildlifeSanctuary,Jamshedpur,Jharkhand,"22.8966,86.2061",4.2
DassamFalls,Taimara,Jharkhand,"23.1463,85.4672",4.4
HundruWaterfall,Ranchi,Jharkhand,"23.4505,85.6681",4.3
TagoreHill,Morabadi,Jharkhand,"23.4013,85.3380",4.2
RanchiHill,Ranchi,Jharkhand,"23.3752,85.3107",4.6
BetlaNationalPark,Betla,Jharkhand,"23.8856,84.1924",4.1
GhatshilaRankiniMandir,Ghatshila,Jharkhand,"22.5795,86.4823",4.5
BurudiLake,Ghatshila,Jharkhand,"22.6488,86.4959",4.4
HariharDham,Giridh,Jharkhand,"244′12″,8549′16″",4.4
UsriFalls,Gangapur,Jharkhand,"245′47″,8622′14″",4.3
SanskritiMuseumandArtGallery,Hazaribagh,Jharkhand,"2400′32″,8522′41″",4.2
CanaryHillHazaribagh,Hazaribagh,Jharkhand,"24.0143,85.3941",4.4
HazaribaghWildlifeSanctuary,Pokharia,Jharkhand,"24.1430,85.3822",3.9
JharkhandiShivJiMandir,Dhanwar,Jharkhand,"24.3421,86.0240",4.4
Parasnath,Giridih,Jharkhand,"23.9625,86.1328",4.6
BabaBaidyanathBabaDham,Deoghar,Jharkhand,"24.4925,86.7000",4.7
NaulakhaTemple,Deoghar,Jharkhand,"24.4776,86.7084",4.4
BiharMuseum,Patna,Bihar,"25.6081,85.1210",4.5
MahabodhiTemple,BodhGaya,Bihar,"24.6959,84.9914",4.7
BodhgayaBodhiTree,BodhGaya,Bihar,"24.6959,84.9912",4.7
VishnupadTemple,Gaya,Bihar,"24.7774,85.0093",4.5
GaribNathMandir,Muzaffarpur,Bihar,"267′28″,8523′25″",4.7
SaraiyaganjTower,Muzaffarpur,Bihar,"26.1259,85.3868",4.1
BarabarCaves,Sultanpur,Bihar,"25.0055,85.0633",4.4
Dungeshwari,Gaya,Bihar,24.7366185.04751,4.5
NalandaMuseum,Nalanda,Bihar,"258′12″,8526′38″",4.5
MahavirswamiJainwatertemple,Pawapuri,Bihar,"255′28″,8532′19″",4.5
SriMahavirMandir,Patna,Bihar,"2536′14″,858′11″",4.8
RajnagarPalace,Madhubani,Bihar,"2624′11.02″,8610′13.01″",4.4
ManjharKund,Sasaram,Bihar,"2457′0″,841′48″",4.5
SherShahSuriTomb,Sasaram,Bihar,"2456′55.94″,840′38.26″",4.3
SubhashParkBiharsharif,BiharSharif,Bihar,"25.2041,85.5141",3.8
WatThaiNalandaTemple,Bargaon,Bihar,"25.1281,85.4432",4.5
RuinsOfTheFortofLichhaviKingVishal,Basarh,Bihar,"25.9871,85.1270",4.3
TakhatSriHarimandirJi(PatnaSahib),Gurudwara,Bihar,"25.5962,85.2300",4.7
MungerFort,Munger,Bihar,"25.3789,86.4700",4.3
HieunTsangMemorialHall,Kundalpur,Bihar,"25.1450,85.4538",4.4
HowrahBridge,Kolkata,WestBengal,"22.5851,88.3468",4.6
VictoriaMemorial,Kolkata,WestBengal,"22.5448,88.3426",4.6
EcoPark,Newtown,WestBengal,"22.6031,88.4671",4.5
IndianMuseum,Kolkata,WestBengal,"22.5579,88.3511",4.5
DakshineswarKaliTemple,Kolkata,WestBengal,"22.6549,88.3575",4.7
BelurMath,Belur,WestBengal,"22.63250,88.35639",4.7
St.Paul'sCathedral,Kolkata,WestBengal,"22.5442,88.3467",4.6
ScienceCityPark(Akash),Kolkata,WestBengal,"22.5401,88.3961",4.4
FortWilliam,Kolkata,WestBengal,"22.5542,88.3359",4.6
SundarbanNationalPark,Kolkata,WestBengal,"21.8359,88.8842",4.4
HazarduariPalace,Murshidabad,WestBengal,"24.1862,88.2687",4.5
AcharyaJagadishChandraBoseIndianBotanicGarden,Howrah,WestBengal,"22.5587,88.2911",4.4
PeacePagoda,Darjeeling,WestBengal,"27.0276,88.2590",4.6
ObservatoryHillViewPoint,Darjeeling,WestBengal,"27.0499,88.2660",4.6
MillenniumPark,Kolkata,WestBengal,"22.5728,88.3445",4.1
BengalSafari,Siliguri,WestBengal,"26.7919,88.4492",4.2
JamesPrinsepGhat,Kolkata,WestBengal,"22.5567806,88.3316000",4.5
Raiganj(Kulik)Bird&WildlifeSanctuary,UttarDinajpur,WestBengal,"2538′13.2″,887′15.6″",4.3
MahanandaWildlifeSanctuary,Darjeeling,WestBengal,"26.7962,88.3630",4.3
BatasiaLoop,Darjeeling,WestBengal,"27.0167,88.2475",4.4
UjjayantaPalaceMuseum,Agartala,Tripura,"23.5010,91.1657",4.5
HeritagePark,Agartala,Tripura,"23.8565,91.2849",4.2
Neermahal,Rudijala,Tripura,"23.5065,91.3156",4.4
UnakotiRockCarvings,UttarUnakutiR.F.,Tripura,"2419′0″,924′0″",4.5
TrishnaWildLife,Belonia,Tripura,"2326.137',9128.184'",3.9
MekhliparaTeaEstate,Mekhlipara,Tripura,"23.8220,91.3552",4
JagannathBari,Agartala,Tripura,"23.8363,91.2805",4.5
TripurasundariTemple,Matabari,Tripura,"23.5090,91.4982",4.7
,Agartala,Tripura,"23.8312,91.2902",4.4
FourteenGods'andGoddesses'Temple,Mekhlipara,Tripura,"23.8415,91.3452",4.5
KasbaKaliBari,Kamalasagar,Tripura,"23.7401639,91.1598194",4.6
MontangValley,NunachharaR.F.,Tripura,"23.7694,91.7376",4.5
UmmaheshwarTemple,Agartala,Tripura,"23.8376,91.2818",4.5
ChakmaghatParkTeliamura,UttarGakulnagar,Tripura,"23.8332,91.6811",4
CollegeTillaLake,Agartala,Tripura,"23.8269,91.2944",4.4
MathChowmuhaniBazar,Dhaleswar,Tripura,"23.8315,91.2923",3.9
NehruPark,Agartala,Tripura,"23.8537,91.2819",3.9
JampuiHill,Vanghmun,Tripura,"23.9654,92.2783",4.4
RabindraKanan,Agartala,Tripura,"23.8524,91.2842",4.1
KHUMULWNGPARK,KHUMULWNG,Tripura,"23.79,91.44",4.3
UmiamLake,Umiam,Meghalaya,"25.6698,91.9010",4.5
MawsmaiCave,Cherrapunji,Meghalaya,"25.2446,91.7241",4.5
DoubleDeckerLivingRootBridge,Nongriat,Meghalaya,"25.2374,91.6796",4.8
DonBoscoMuseumticketcounter,Shillong,Meghalaya,"25.5926,91.8858",4.4
LaitlumCanyon,Shillong,Meghalaya,"25.4488,91.9090",4.7
DainthlenFalls,Cherrapunji,Meghalaya,"25.2934,91.6835",4.6
NohKaLikaiFalls,Cherrapunji,Meghalaya,"2516′32″,9141′13″",4.7
ElephantFalls,Shillong,Meghalaya,"25.5361,91.8225",4.4
WeiSawdongFalls,Cherrapunji,Meghalaya,"25.2912308,91.6783496",4.8
ThangkharangPark,Sohra,Meghalaya,"25.2167,91.7241",4.3
SevenSistersWaterfall,Nohsngithiang,Meghalaya,"25.243,91.743",4.4
BorhillFalls,Mawlynnong-Lyngkhat,Meghalaya,"25.1821,91.9577",4.6
VantawngFalls,Serchhip,Mizoram,"23.2344,92.7512",4.2
Reiek,Aizawl,Mizoram,"23.6777,92.6037",4.5
TamDil,Saitual,Mizoram,"23.7386,92.9529",4.4
DampaTigerReserve&Sanctuary,Phulbial,Mizoram,"23.567,92.367",3.8
PalakLake,Saiha,Mizoram,"22.2025,92.8889",4.2
RihDil,Chin,Mizoram,"23.3407,93.3849",4.5
Phawngpui,Aizawl,Mizoram,"22.631500,93.0388000",4
LengtengWildlifeSanctuary,Saitual,Mizoram,"23.8125,93.2483",4.2
AizawlCityView,Aizawl,Mizoram,"23.7602,92.7348",4.5
"Solomon'sTemple,Aizawl",Aizawl,Mizoram,"31.778013,35.235367",4.4
MizoramStateMuseum,Zarkawt,Mizoram,"23.7381,92.7158",4.1
FolklandPark,Aizawl,Mizoram,"23.7284,92.7411",4.2
LalsavungaPark,Hlimen,Mizoram,"23.671606,92.7180847",4.2
ThenzawlDilpui,Thenzwal,Mizoram,"23.2650,92.7555",4.4
AizawlZoologicalPark,Lungverh,Mizoram,"23.7899,92.6708",3.8
KeibulLamjaoNationalPark,Bishnupur,Manipur,"24.4788,93.8395",4.3
KanglaFort,Imphal,Manipur,"24.8075,93.9428",4.3
Shiruikashong(peak),Ukhrul,Manipur,"25.1067,94.4569",4.4
SingdaDam,Kangchup,Manipur,"24.8863,93.8064",4.2
ImaMarket,Imphal,Manipur,"24.8072,93.9341",4.2
LoktakLake,Moirang,Manipur,"24.5593,93.8147",4.6
Barakwaterfall,Tamenglong,Manipur,,4
KhoupumWaterfall,Khoupumvalley,Manipur,,4.3
ManipurStateMuseum,Kangla,Manipur,"24.8049,93.9371",4.1
ShriShriGovindajiTemple,Imphal,Manipur,"24.7980,93.9482",4
SelloiLangmaiEcologicalPark,Andro,Manipur,"24.7792,94.0028",4.1
KhongjomWarMemorialComplex,Khongjom,Manipur,"24.5679,94.0400",4.4
KisamaHeritage,Kohima,Nagaland,"25.6163,94.1144",4.4
SungkotenemPark,Mopungchuket,Nagaland,"26.3962,94.5314",4.5
ShilloiLake,Phek,Nagaland,"25.5956,94.7931",4.3
KohimaCathedralChurch,Kohima,Nagaland,"25.6525,94.1046",4.5
SaramatiPeak,Thanamir,Nagaland,"2544'24'',952'15''",4.6
CommonWealthWorldWarIICemetry,Kohima,Nagaland,"25.66736,94.10373",4.3
Puliebadze,Kohima,Nagaland,"25.6477,94.0731",4.3
DzükouPoint,Kohima,Nagaland,"2533′12.52″,944′1.28″",4.3
KapamodzüPeak,Phek,Nagaland,"25.5273,94.2964",4.4
TsumangLake,Wokha,Nagaland,"26.0939,94.2566",3.9
KhonomaNatureConservationandTragopanSanctuary,Kohima,Nagaland,"2537′36″,9400′08″",4
LongwaNagaland,Longwa,Nagaland,"26.6654,95.1883",4.2
GloryPeak,Phek,Nagaland,"25.5633,94.2997",4.3
DoyangRiver,JapfüHill,Nagaland,"26.2234,94.2492",4.3
